ID,Jenis,Gambar
1,Bacan,https://storage.googleapis.com/agatepedia_bucket/bacan.jpg
2,Merah Delima,https://storage.googleapis.com/agatepedia_bucket/merahdelima.jpg
3,Sulaiman,https://storage.googleapis.com/agatepedia_bucket/sulaiman.jpg
4,Safir,https://storage.googleapis.com/agatepedia_bucket/safir.jpg
5,Zamrud,https://storage.googleapis.com/agatepedia_bucket/zamrud.jpg
6,Topaz,https://storage.googleapis.com/agatepedia_bucket/topazkuning.jpg
7,Kalimaya (Black Opal),https://storage.googleapis.com/agatepedia_bucket/kalimaya.jpg
8,Kecubung Kalimantan,https://storage.googleapis.com/agatepedia_bucket/kecubung.jpg
9,Kalsedon,https://storage.googleapis.com/agatepedia_bucket/kalsedon.jpg
10,Sungai Dareh,https://storage.googleapis.com/agatepedia_bucket/sungaidareh.jpg
11,Bio Solar,https://storage.googleapis.com/agatepedia_bucket/biosolar.jpg
12,Batu Pirus,https://storage.googleapis.com/agatepedia_bucket/pirus.jpg
13,Tapak Jalak Hitam,https://storage.googleapis.com/agatepedia_bucket/tapakjalak.jpg
14,Giok,https://storage.googleapis.com/agatepedia_bucket/giok.jpg
